Food_Category,Moisture_Content_pct,pH,Water_Activity,Protein_Content_pct,Fat_Content_pct,Storage_Temp_C,Relative_Humidity_pct,Packaging_Type,Preservative_Conc_pct,Shelf_Life_Days
Beverages,96.1,4.74,0.983,0.8,0.2,10.6,91.3,Standard Plastic,0.318,35.9
Bakery,34.7,5.79,0.884,10.6,5.6,23.0,54.4,Glass,0.217,4.1
Snacks,8.9,6.43,0.202,4.7,31.0,22.1,34.6,Modified Atmosphere,0.171,618.0
Dairy,79.7,4.49,0.985,6.0,4.9,6.2,67.2,Cardboard,0.26,7.5
Dairy,78.2,6.51,0.988,4.8,3.1,3.6,75.3,Modified Atmosphere,0.122,6.3
Snacks,14.1,6.8,0.629,7.7,15.0,1.3,77.2,Vacuum Sealed,0.151,144.9
Bakery,31.9,,0.862,9.9,19.0,4.3,62.5,Standard Plastic,0.435,6.6
Bakery,37.2,7.3,0.886,10.5,8.2,9.0,45.2,Standard Plastic,0.29,5.4
Meat,74.0,5.66,0.973,26.8,18.4,24.8,43.5,Standard Plastic,0.335,1.0
Bakery,26.0,5.67,0.886,,16.2,6.5,34.7,Glass,0.15,7.2
Produce,79.6,4.76,0.961,4.4,1.6,14.7,47.9,Cardboard,0.327,2.7
Snacks,13.1,5.96,,9.7,15.4,2.9,46.4,Cardboard,0.291,152.0
Produce,85.1,4.6,0.979,1.3,0.4,9.4,86.8,Glass,0.001,2.5
Meat,,5.57,0.988,19.3,5.0,2.2,73.0,Standard Plastic,0.324,3.4
Snacks,8.0,6.87,0.395,4.5,14.8,9.2,34.5,Standard Plastic,0.304,127.9
Condiments,51.6,3.02,0.755,4.8,28.3,19.9,64.1,Cardboard,0.03,201.6
Seafood,69.9,6.0,0.975,16.0,9.3,6.9,58.8,Vacuum Sealed,0.143,1.0
Snacks,13.0,6.03,0.609,5.2,16.5,1.5,46.8,Standard Plastic,0.473,119.6
Condiments,66.0,4.57,0.735,,10.5,14.7,50.2,Cardboard,0.374,175.8
Condiments,59.0,4.4,0.797,3.2,24.3,21.7,61.8,,0.153,298.8
Dairy,57.6,6.05,0.978,7.3,8.9,22.6,30.4,Modified Atmosphere,0.067,2.9
Produce,72.2,6.06,0.978,1.4,1.3,23.8,60.3,Cardboard,0.469,1.6
Condiments,35.8,3.84,0.705,1.9,27.2,0.9,44.3,Standard Plastic,0.308,232.9
Dairy,51.3,6.75,0.975,7.6,4.6,19.1,59.7,Glass,0.078,2.8
Condiments,64.4,5.43,0.897,1.4,28.4,10.6,30.6,Standard Plastic,0.023,87.8
Seafood,,6.98,0.981,22.9,6.4,1.0,79.6,Modified Atmosphere,0.316,2.5
Beverages,92.0,5.39,0.951,0.3,0.5,13.4,52.5,Modified Atmosphere,0.288,229.5
Beverages,96.7,4.29,0.961,2.7,0.5,6.6,44.4,Standard Plastic,0.402,64.7
Bakery,24.2,7.06,0.887,5.4,22.5,1.9,46.0,Standard Plastic,0.205,5.9
Meat,58.2,5.99,0.972,23.8,14.0,13.1,32.4,Vacuum Sealed,0.057,1.4
Meat,59.4,5.53,,25.8,6.4,2.0,60.8,Vacuum Sealed,,4.4
Condiments,37.9,4.51,0.876,3.0,22.3,19.3,62.5,Standard Plastic,0.487,151.3
Condiments,53.9,3.57,0.786,4.7,,8.5,64.3,Modified Atmosphere,0.498,251.4
Beverages,88.9,2.99,0.984,1.3,0.8,16.1,50.7,Standard Plastic,0.135,107.8
Snacks,4.3,6.7,0.365,8.8,34.0,19.2,30.4,Glass,0.041,534.6
Meat,69.5,6.2,0.973,24.7,8.7,4.2,67.7,Standard Plastic,0.364,1.8
Seafood,65.4,6.12,0.982,19.0,6.4,0.0,87.8,Vacuum Sealed,0.387,3.7
Produce,87.6,11.2,0.975,4.3,0.2,56.0,85.3,Modified Atmosphere,0.32,2.2
Dairy,61.2,4.28,0.989,4.6,7.3,21.0,53.4,Standard Plastic,0.491,4.2
Beverages,93.1,4.0,0.96,2.4,1.2,21.4,60.5,Modified Atmosphere,0.152,110.2
Seafood,76.6,6.31,0.978,24.3,10.6,13.1,87.5,Cardboard,0.205,1.0
Snacks,4.2,6.2,0.313,7.5,23.4,20.1,30.1,Modified Atmosphere,0.139,696.4
Meat,62.3,6.34,0.985,25.6,11.3,5.0,38.1,Standard Plastic,0.069,1.4
Produce,89.3,3.61,0.974,1.4,0.9,,75.2,Vacuum Sealed,0.202,3.1
Condiments,53.8,4.07,0.882,1.4,10.1,2.2,92.5,Glass,0.23,145.4
Seafood,62.2,6.38,0.97,19.2,9.7,11.0,58.1,Standard Plastic,0.291,1.0
Meat,63.6,6.43,0.983,,19.6,21.6,51.0,Standard Plastic,0.208,1.0
Seafood,71.5,6.24,0.988,22.7,4.2,10.2,64.1,Vacuum Sealed,0.013,1.0
Meat,65.2,5.54,0.99,19.2,6.1,3.7,70.9,Vacuum Sealed,0.139,3.7
Bakery,37.2,7.26,0.93,7.9,24.6,9.5,71.5,Modified Atmosphere,0.49,6.3
Meat,61.5,5.87,0.968,18.9,7.2,7.8,78.7,Cardboard,0.069,1.9
Bakery,22.9,6.4,0.943,5.8,18.0,10.9,36.1,Glass,0.4,6.1
Produce,80.4,4.22,0.957,2.0,0.7,3.4,49.3,Standard Plastic,,8.8
Seafood,69.3,,0.984,23.3,3.0,4.0,72.7,Cardboard,0.446,1.2
Meat,73.8,6.17,0.977,24.5,5.7,14.5,65.2,,0.175,1.0
Dairy,58.8,6.71,0.98,3.1,3.8,23.6,30.9,Standard Plastic,0.038,2.2
Dairy,45.6,5.81,0.975,,7.3,6.0,68.9,Standard Plastic,0.13,6.6
Meat,74.2,5.59,0.98,20.2,6.4,,92.9,Standard Plastic,0.061,1.0
Bakery,82.5,3.74,,3.9,0.2,19.0,67.5,Glass,0.109,2.3
Dairy,52.4,5.23,0.985,5.6,9.4,16.0,41.2,Standard Plastic,0.214,2.7
Produce,89.0,4.44,0.967,4.3,2.0,16.1,60.0,Standard Plastic,0.111,3.1
Bakery,28.5,5.63,0.862,6.2,7.4,19.4,50.2,Vacuum Sealed,0.19,8.1
Bakery,33.7,6.45,0.853,9.6,13.2,24.7,48.3,Cardboard,0.007,2.7
Dairy,65.8,4.67,0.989,5.1,4.7,14.1,80.9,Vacuum Sealed,0.485,4.3
Meat,72.0,6.26,0.972,23.9,5.7,0.4,75.6,,0.325,3.3
Meat,58.8,6.05,0.977,26.6,7.4,5.7,61.2,Standard Plastic,0.108,1.3
Beverages,92.9,3.52,0.993,1.8,1.3,16.0,73.3,Glass,0.131,142.7
Snacks,11.4,7.33,0.411,3.7,14.1,16.8,88.2,Vacuum Sealed,,174.8
Meat,57.9,6.18,0.972,24.7,14.0,20.3,39.1,Glass,0.5,1.2
Snacks,5.1,5.87,0.386,7.1,26.5,18.5,80.6,Standard Plastic,0.382,138.2
Bakery ,63.3,3.16,0.848,1.4,15.2,21.8,55.8,Glass,0.077,172.9
Snacks,6.4,7.05,0.238,10.6,34.8,8.7,38.4,Vacuum Sealed,0.379,208.2
Bakery,36.1,7.21,0.899,6.5,,24.5,66.0,Cardboard,,4.0
Bakery,36.6,7.49,0.814,8.1,17.4,2.2,62.2,Cardboard,0.448,6.2
Beverages,87.0,5.15,0.968,1.2,0.1,5.4,34.9,Standard Plastic,0.422,58.8
Condiments,46.8,3.64,0.897,4.3,23.1,20.3,63.7,Cardboard,0.163,115.5
Meat,71.0,6.37,0.981,20.8,13.7,0.2,55.7,Modified Atmosphere,0.469,5.1
Seafood,81.2,6.8,0.977,18.3,4.1,3.3,83.8,Cardboard,0.083,1.8
Dairy,,6.45,0.987,4.0,8.2,10.8,,,0.099,1.9
Condiments,52.2,3.23,0.847,4.6,15.9,23.5,63.2,Standard Plastic,0.147,120.8
Bakery,27.7,6.67,0.833,9.6,5.3,,36.5,Standard Plastic,0.407,6.3
Bakery,39.9,7.2,0.859,,16.9,17.7,84.1,Vacuum Sealed,0.405,5.1
Seafood,72.4,6.1,,19.4,5.5,5.8,32.0,Glass,0.163,1.0
Produce,85.0,6.12,0.969,2.6,0.5,7.6,91.3,Cardboard,0.01,2.8
Meat,62.9,6.0,0.979,22.4,14.6,2.4,84.7,Cardboard,0.195,3.1
Produce,93.4,4.74,0.975,1.2,0.5,14.1,70.0,Vacuum Sealed,0.202,4.5
Dairy,60.1,4.84,0.973,,6.7,8.4,55.5,Cardboard,0.442,4.7
Seafood,73.1,6.12,0.989,18.2,1.9,1.8,79.4,Modified Atmosphere,0.098,2.6
Dairy,74.1,6.47,0.984,6.8,11.2,7.7,68.7,Modified Atmosphere,0.128,4.8
Beverages,88.0,4.84,0.96,2.2,0.1,20.8,84.5,Glass,0.076,32.7
Snacks,,5.54,0.377,10.1,32.9,9.4,62.9,Standard Plastic,0.129,131.1
Condiments,68.5,3.58,0.718,3.0,11.9,21.0,35.7,,0.188,184.1
Meat,64.5,6.16,0.985,18.5,19.3,4.2,73.4,Cardboard,0.349,1.6
Beverages,93.7,3.78,0.961,2.3,0.0,8.2,43.9,Cardboard,0.335,52.7
Meat,3.3,6.25,0.486,4.8,21.0,22.2,66.8,Standard Plastic,0.17,100.7
Condiments,47.6,4.15,0.898,,,5.3,42.4,Standard Plastic,0.121,142.2
Beverages,,5.97,0.967,0.7,0.1,5.1,43.0,Vacuum Sealed,0.363,79.5
Meat,74.0,6.43,0.971,27.5,19.0,20.4,74.5,Glass,0.3,1.1
Dairy,50.5,5.8,0.986,7.3,7.0,20.2,80.3,Modified Atmosphere,0.037,3.0
Dairy,76.3,,0.971,6.4,4.0,1.6,74.9,Standard Plastic,0.202,10.0
Beverages,96.7,5.73,0.989,0.0,,,35.1,Standard Plastic,0.215,34.3
Dairy,,6.29,,5.0,4.8,19.8,63.2,Vacuum Sealed,0.369,3.3
Produce,94.2,5.92,0.975,2.8,1.6,22.9,,Modified Atmosphere,0.304,2.2
Beverages,96.8,6.76,0.961,0.9,0.2,4.2,38.3,Vacuum Sealed,0.259,64.6
Seafood,64.2,6.91,0.989,15.4,9.2,20.7,92.9,Cardboard,0.3,1.0
Seafood,66.7,6.63,0.972,21.7,1.4,3.3,74.6,Modified Atmosphere,0.429,2.2
Seafood,81.1,6.82,0.983,18.4,5.2,1.4,89.6,Vacuum Sealed,0.02,2.7
Produce,88.6,5.69,0.979,1.4,0.9,2.7,92.2,Modified Atmosphere,0.005,5.0
Meat,56.9,5.8,0.984,21.1,16.1,21.9,89.3,Standard Plastic,0.186,1.0
Meat,67.2,6.08,0.962,19.4,13.9,5.2,84.0,Glass,0.058,3.0
Meat,74.6,,0.973,18.7,11.3,18.3,33.0,Glass,0.49,1.1
Meat,60.4,6.33,0.989,22.3,7.1,0.1,42.2,Vacuum Sealed,0.36,5.1
Beverages,93.8,3.32,,2.9,1.0,4.7,50.8,Glass,0.176,75.2
Seafood,,,0.982,15.7,4.1,16.7,50.2,Vacuum Sealed,0.416,1.0
Beverages,90.8,5.03,0.975,0.2,0.8,19.8,82.3,,0.026,22.6
Condiments,64.1,3.31,0.705,4.3,11.7,14.6,,Cardboard,0.392,154.5
Bakery,28.2,6.1,0.87,5.5,9.0,8.4,81.7,Modified Atmosphere,,5.6
Produce,86.2,4.36,0.972,2.9,0.4,7.4,80.8,Glass,0.015,4.6
Produce,82.3,6.45,0.957,1.0,1.9,12.4,84.4,Standard Plastic,0.051,2.4
Produce,81.1,4.49,0.956,1.8,1.0,3.9,66.3,Standard Plastic,0.031,6.6
Bakery,26.1,6.62,0.832,6.6,18.0,22.4,56.7,Standard Plastic,0.244,4.1
Produce,77.1,4.04,0.966,2.8,0.7,5.8,,Vacuum Sealed,0.27,9.0
Condiments,60.4,4.58,0.813,4.2,8.8,17.4,64.6,Glass,0.253,357.4
Bakery,29.5,6.15,0.831,8.6,18.0,18.3,56.0,Modified Atmosphere,0.088,6.4
Condiments,63.1,5.1,0.875,4.3,13.9,19.2,59.0,Cardboard,0.218,160.2
Snacks,6.5,7.17,0.288,5.8,34.7,28.7,44.3,Cardboard,0.123,217.3
Dairy,55.6,6.76,0.975,4.6,9.9,3.3,79.4,Cardboard,0.256,6.7
Produce,94.4,6.49,0.988,2.6,0.6,19.0,49.5,Glass,0.267,1.8
Condiments,32.5,4.73,0.714,4.0,22.5,16.3,77.6,Vacuum Sealed,,205.0
Produce,91.3,5.95,,1.3,0.8,17.2,62.4,Modified Atmosphere,0.276,2.6
Produce,89.1,4.22,0.979,2.0,0.4,5.1,88.8,Cardboard,0.008,4.3
Beverages,85.8,6.89,0.982,1.7,0.7,16.4,62.6,Standard Plastic,0.017,70.5
Meat,59.9,6.37,0.978,27.7,19.3,6.2,52.6,Cardboard,0.483,1.1
Beverages,88.4,3.78,0.962,0.7,,20.5,,Modified Atmosphere,0.271,53.6
Produce,71.9,5.2,0.978,,0.8,4.6,81.5,Standard Plastic,0.047,4.4
Seafood,81.5,6.21,0.982,20.1,5.5,1.0,85.7,Standard Plastic,0.128,2.1
Seafood,81.2,6.19,0.987,19.9,5.4,1.7,88.1,Modified Atmosphere,0.12,2.8
Bakery,23.2,6.96,0.864,6.1,,22.3,34.9,Glass,0.117,5.0
Snacks,11.3,5.69,0.474,8.4,16.8,,78.8,Modified Atmosphere,0.417,202.5
Dairy,65.1,,0.977,3.8,5.8,13.8,67.1,Modified Atmosphere,0.371,3.9
Condiments,55.5,3.75,0.752,1.9,5.0,20.2,69.9,Glass,0.249,313.1
Beverages,88.9,,0.989,1.5,0.1,6.0,80.4,Vacuum Sealed,0.129,49.2
Beverages,94.6,3.76,0.964,0.2,1.3,22.5,93.0,Modified Atmosphere,0.374,47.3
Dairy,55.0,4.9,0.973,4.4,8.8,0.8,34.9,Modified Atmosphere,0.1,14.0
Beverages,89.7,6.54,0.97,0.1,0.3,24.7,56.7,Standard Plastic,0.001,36.6
Meat,73.0,5.5,0.979,19.2,7.2,3.8,41.7,Glass,0.29,3.1
Snacks,8.3,5.9,0.313,4.7,21.1,29.0,42.2,Cardboard,0.077,221.8
Snacks,4.5,6.32,0.428,8.7,30.3,19.6,38.0,Vacuum Sealed,0.187,755.5
Condiments,52.7,4.91,0.85,2.9,11.8,17.4,52.5,Glass,0.397,322.9
Produce,70.1,3.9,0.972,2.1,1.2,17.8,83.7,Cardboard,0.206,2.0
Beverages,89.1,3.24,0.996,2.8,0.2,5.2,62.3,Modified Atmosphere,0.229,472.0
Snacks,12.0,6.85,0.251,11.7,28.9,6.1,32.6,Cardboard,0.17,112.8
Beverages,91.4,,0.98,2.0,0.6,7.8,38.1,Standard Plastic,0.493,69.9
Bakery,39.6,6.07,0.941,9.0,6.7,26.6,63.6,Modified Atmosphere,0.024,2.1
Produce,73.5,6.41,0.967,3.3,0.5,19.8,80.9,Vacuum Sealed,0.456,2.2
Produce,75.1,6.15,0.979,3.4,1.4,17.0,56.5,Vacuum Sealed,0.291,2.7
Bakery,,6.92,0.897,10.4,12.2,4.5,43.3,Vacuum Sealed,0.175,7.0
Snacks,2.2,,0.564,,20.8,20.0,38.3,Standard Plastic,0.136,97.5
Dairy,61.5,5.22,0.98,7.3,7.2,1.1,65.2,Vacuum Sealed,0.389,15.8
Snacks,4.2,6.09,0.344,7.5,25.9,12.4,73.3,,0.438,188.6
Dairy,62.1,5.62,,4.9,7.8,22.1,30.3,Cardboard,0.256,2.3
Bakery,22.0,6.55,,9.1,17.2,18.2,79.5,Glass,0.332,4.3
Meat,56.6,,0.978,19.6,7.2,12.2,,Cardboard,0.221,1.0
Snacks,12.5,7.35,0.629,5.0,22.4,5.6,46.9,Standard Plastic,0.02,90.1
Meat,56.9,6.71,0.971,6.5,8.5,7.0,78.7,Glass,,5.0
Dairy,79.7,6.0,0.985,4.4,6.0,8.2,58.6,Cardboard,0.342,4.0
Bakery,26.4,6.56,0.918,9.6,17.8,5.2,32.0,Standard Plastic,0.285,6.0
Produce,87.9,6.01,,2.4,1.5,23.5,36.1,Standard Plastic,0.232,1.4
Beverages,92.4,3.36,0.975,1.5,0.8,5.3,70.4,Cardboard,0.266,316.8
Produce,,5.4,0.972,3.6,1.8,13.9,70.8,Vacuum Sealed,0.067,3.4
Beverages,89.1,,0.97,2.1,1.3,11.0,55.9,Standard Plastic,0.142,54.1
Produce,90.0,5.86,0.975,4.4,0.6,21.8,72.5,Modified Atmosphere,,2.5
Bakery,28.9,,0.883,8.8,23.9,4.2,49.0,Modified Atmosphere,0.396,8.0
Produce,90.5,5.82,0.967,,1.4,2.4,31.5,Standard Plastic,0.112,6.3
Snacks,8.8,6.74,0.431,4.7,16.6,2.3,58.1,Standard Plastic,0.059,118.5
Produce,94.8,4.63,0.98,3.7,1.6,16.7,94.3,Glass,0.26,2.5
Produce,,6.39,0.967,2.5,1.3,,91.8,Cardboard,0.257,2.5
Dairy,72.1,,0.988,6.1,6.2,24.2,48.4,Modified Atmosphere,0.144,3.3
Bakery,38.4,6.26,0.921,6.8,,16.9,43.8,Modified Atmosphere,0.153,5.7
Beverages,93.8,4.57,0.967,1.7,1.5,7.0,66.7,Vacuum Sealed,0.207,84.0
Condiments,41.1,4.35,0.716,4.7,13.5,22.5,49.4,Standard Plastic,0.474,205.2
Produce,84.5,4.77,0.951,1.0,0.9,3.2,81.4,Standard Plastic,0.009,4.1
Dairy,76.4,6.75,0.979,6.4,4.9,2.9,79.2,Cardboard,0.03,4.5
Produce,78.6,4.14,0.982,4.5,0.2,12.8,61.3,Glass,0.141,4.6
Snacks,5.0,5.72,0.327,6.1,31.5,12.6,45.6,Standard Plastic,0.053,137.3
Beverages,94.6,4.45,0.969,1.0,0.1,9.3,91.4,Standard Plastic,0.336,48.8
Snacks,13.6,7.0,0.494,9.8,27.4,24.1,86.1,Glass,0.043,99.1
Produce,83.4,,0.967,2.8,1.8,,,Glass,0.485,2.5
Seafood,77.2,6.05,0.984,19.6,3.9,6.0,61.4,Cardboard,0.189,1.0
Meat,68.6,5.92,,23.5,7.7,16.2,43.3,Standard Plastic,0.002,1.0
Dairy,51.7,5.84,0.978,3.4,5.0,13.1,66.5,Standard Plastic,0.274,2.6
Seafood,62.4,6.56,0.972,17.1,2.9,1.7,73.6,Standard Plastic,0.416,2.2
Condiments,48.4,3.11,0.839,2.9,13.3,23.4,64.4,Standard Plastic,0.373,162.8
Beverages,93.6,6.26,0.976,1.9,1.1,23.2,90.6,Standard Plastic,0.153,20.6
Condiments,64.8,4.73,0.78,2.1,25.8,15.5,52.1,Glass,0.258,380.9
Meat,67.8,6.22,0.971,26.9,11.8,13.3,,Standard Plastic,0.018,1.0
Seafood,68.8,6.42,,21.3,9.5,0.8,,Modified Atmosphere,,2.8
Snacks,3.0,5.53,0.529,5.5,14.7,5.9,42.5,Standard Plastic,0.164,121.5
Condiments,52.4,3.82,0.864,2.1,23.3,15.8,56.0,Vacuum Sealed,0.111,337.7
Beverages,97.8,6.07,,1.1,0.1,9.1,73.7,Modified Atmosphere,,52.4
Bakery,41.6,5.86,0.905,6.2,15.9,23.6,49.0,Standard Plastic,0.057,2.2
Seafood,78.1,6.31,0.973,17.1,2.3,3.6,84.4,Cardboard,0.03,1.6
Snacks,5.1,7.06,0.266,8.9,18.9,14.9,37.0,Vacuum Sealed,0.455,191.9
Snacks,,6.43,0.335,10.1,17.0,14.8,76.5,Cardboard,0.418,93.8
Bakery,33.5,7.06,,5.6,19.5,17.7,80.4,Vacuum Sealed,0.327,5.8
Meat,59.7,6.01,0.983,27.2,3.9,17.2,70.4,Standard Plastic,0.12,1.0
Beverages,98.1,3.1,0.976,2.7,0.4,8.6,69.9,Vacuum Sealed,0.177,79.0
Bakery,26.8,6.08,0.817,6.7,15.3,13.4,53.2,Standard Plastic,0.414,5.7
Dairy,68.2,6.43,0.979,5.0,6.6,3.0,77.0,Glass,0.07,5.7
Dairy,58.5,5.97,0.975,6.2,6.3,13.7,46.2,Standard Plastic,0.012,3.0
Dairy,73.7,4.33,0.979,7.1,6.7,8.8,82.0,Standard Plastic,0.413,6.8
Produce,,3.7,0.968,4.1,1.8,10.3,57.5,Glass,0.471,8.1
Bakery,34.4,6.9,0.889,9.9,19.1,24.1,52.5,Cardboard,0.011,3.0
Condiments,67.5,3.16,0.903,1.1,23.1,13.4,62.9,,0.119,188.2
Bakery,21.4,6.23,0.919,9.5,21.7,16.6,57.6,Vacuum Sealed,0.455,6.4
Beverages,85.6,3.42,0.986,2.0,0.7,0.4,46.3,Standard Plastic,0.308,69.2
Dairy,70.5,6.46,0.969,3.1,5.2,2.8,76.3,Cardboard,0.04,5.0
Beverages,99.0,3.71,0.972,0.2,0.1,5.4,93.1,Cardboard,0.327,46.8
Produce,86.7,5.68,0.979,4.5,1.8,,57.9,Standard Plastic,0.409,3.2
Seafood,79.3,6.79,0.989,22.1,1.9,10.0,72.0,Standard Plastic,0.137,1.0
Beverages,91.2,3.41,0.96,2.2,1.9,15.8,66.2,Standard Plastic,0.271,110.9
Meat,72.1,6.38,0.978,24.0,7.6,11.9,56.5,Standard Plastic,0.051,1.0
Meat,71.3,,0.989,21.1,9.9,6.1,87.9,Cardboard,0.209,1.0
Seafood,65.5,6.74,0.98,24.4,3.1,1.7,71.9,Glass,0.477,2.4
Condiments,49.6,5.2,0.762,3.1,26.0,24.9,52.5,Glass,0.121,144.7
Beverages,92.2,5.9,,1.7,0.3,21.0,81.2,Standard Plastic,0.233,29.5
Bakery,25.4,6.01,0.92,7.9,5.7,28.0,57.5,Standard Plastic,0.282,1.8
Seafood,75.0,6.16,0.988,20.7,4.0,11.9,,Standard Plastic,,1.0
Condiments,53.4,3.46,0.804,,19.6,23.8,64.4,Glass,0.377,167.9
Meat,63.6,6.13,0.978,22.4,8.3,19.1,90.9,Cardboard,0.087,1.0
Condiments,45.0,3.09,0.826,3.3,23.9,11.0,92.4,Modified Atmosphere,0.372,188.5
Condiments,61.0,3.98,0.877,2.9,15.4,24.9,57.5,Vacuum Sealed,0.332,230.4
Snacks,7.6,6.28,0.476,8.3,14.3,23.5,68.3,Standard Plastic,,112.5
Bakery,41.3,6.01,0.859,6.4,10.8,24.0,44.4,Glass,0.17,3.9
Condiments,39.9,,0.737,2.0,26.3,12.9,77.4,Vacuum Sealed,0.183,209.5
Snacks,10.4,6.99,0.447,4.6,31.6,25.2,52.6,Cardboard,0.016,256.1
Condiments,42.4,3.88,0.773,,28.0,14.4,93.8,Cardboard,0.178,114.1
Snacks,4.9,6.14,0.511,8.5,14.8,14.4,53.3,Glass,0.41,116.8
Dairy,75.1,5.96,0.973,7.8,7.0,4.6,36.9,Glass,0.289,9.6
Snacks,12.8,5.07,0.577,4.3,31.9,18.2,40.7,Standard Plastic,0.156,116.0
Bakery ,13.3,,0.236,10.5,18.1,18.6,57.8,Glass,,156.6
Bakery,36.8,5.59,0.873,6.2,15.9,27.9,42.5,Modified Atmosphere,0.246,3.9
Meat,58.8,,,25.7,8.9,13.3,69.6,Standard Plastic,0.363,1.0
Meat,57.2,5.21,0.988,4.0,9.2,5.4,71.4,Cardboard,0.017,5.2
Produce,84.5,4.45,0.97,2.8,0.0,9.4,86.9,Glass,0.045,3.8
Snacks,13.6,5.2,0.556,8.2,33.7,3.7,94.6,Standard Plastic,0.284,105.0
Seafood,78.6,6.67,0.988,19.0,11.5,17.6,32.7,Cardboard,0.242,1.0
Condiments,40.6,4.93,0.756,1.8,28.3,0.5,92.8,Vacuum Sealed,0.41,182.8
Dairy,75.6,6.59,0.952,5.0,9.0,3.9,77.5,Standard Plastic,0.057,4.8
Produce,90.0,5.35,0.966,1.9,1.0,5.8,85.8,Cardboard,0.006,2.9
Dairy,64.7,6.01,0.97,4.0,3.9,20.3,62.6,Standard Plastic,0.226,2.3
Snacks,11.4,6.29,0.309,3.6,22.7,19.5,38.7,Modified Atmosphere,0.167,718.1
Condiments,42.1,3.68,0.76,3.4,13.1,18.2,,,0.102,136.2
Produce,86.0,4.41,,3.5,1.2,,71.2,Standard Plastic,0.009,6.6
Produce,88.1,5.7,0.961,3.2,0.6,6.3,54.9,Vacuum Sealed,0.169,6.6
Produce,79.6,6.47,0.986,3.5,1.6,9.8,40.5,Standard Plastic,0.386,3.7
Snacks,7.8,7.1,0.218,8.7,14.0,16.9,80.2,Standard Plastic,0.309,121.6
Dairy,79.3,6.33,0.986,5.5,5.6,18.8,38.6,Standard Plastic,0.273,2.5
Snacks,11.0,6.2,0.266,7.2,24.9,20.0,38.8,Vacuum Sealed,0.177,915.9
Seafood,67.0,6.74,0.974,18.7,6.0,21.6,39.1,,0.201,1.0
Produce,88.8,4.04,0.964,1.4,0.1,6.0,80.7,Standard Plastic,0.032,4.7
Bakery,41.8,,0.817,7.6,14.1,17.8,90.9,Cardboard,0.029,3.0
Condiments,50.4,4.92,0.759,3.9,14.3,18.7,57.4,Standard Plastic,0.167,195.7
Bakery,36.9,5.69,0.872,10.2,11.2,7.7,84.5,Vacuum Sealed,0.441,9.1
Condiments,64.5,3.22,0.901,4.2,9.5,8.9,33.0,Vacuum Sealed,0.239,199.0
Bakery,35.5,6.5,0.85,10.4,12.9,16.6,76.8,Modified Atmosphere,0.048,4.8
Bakery,40.6,6.3,0.892,8.0,9.8,23.5,62.1,Cardboard,0.059,2.7
Dairy,51.2,5.32,0.976,7.8,2.9,24.6,,Standard Plastic,0.37,2.7
Dairy,75.1,6.48,0.965,6.5,4.1,4.6,75.7,Standard Plastic,0.095,3.5
Dairy,78.2,5.06,0.981,7.2,9.9,17.3,54.6,Modified Atmosphere,0.332,3.9
Produce,94.7,5.69,0.983,2.1,1.8,19.2,53.5,,0.052,1.7
Seafood,68.9,6.66,0.971,24.7,10.0,4.3,76.8,Standard Plastic,,1.1
Snacks,10.5,5.1,0.645,7.0,33.6,6.1,64.6,Standard Plastic,0.351,117.3
Meat,63.0,5.52,0.977,23.5,13.5,16.6,84.4,Modified Atmosphere,0.06,1.1
Meat,70.8,5.97,0.986,25.0,,12.8,58.9,Standard Plastic,0.271,1.0
Snacks,12.8,5.07,0.577,4.3,31.9,18.2,40.7,Standard Plastic,0.156,116.0
Produce,81.2,5.22,0.956,2.5,0.1,5.9,86.0,Cardboard,0.014,3.8
Bakery,36.3,6.88,0.859,8.6,24.4,23.9,56.8,Glass,,4.7
Seafood,60.1,6.58,0.974,22.1,5.6,4.8,78.9,Glass,0.056,1.1
Bakery,38.7,7.0,0.944,7.5,16.1,,50.9,Standard Plastic,0.118,4.6
Meat,73.6,6.01,0.979,21.8,3.7,19.1,67.3,Glass,0.038,1.0
Meat,65.1,6.28,0.982,23.1,15.3,12.5,69.6,Cardboard,0.201,1.0
Produce,87.7,5.81,0.965,1.2,1.1,2.2,94.7,Cardboard,0.011,4.5
Bakery,20.9,6.82,0.88,10.1,6.2,11.7,,,0.075,3.4
Bakery,21.0,7.38,0.804,9.3,18.9,2.7,33.1,Glass,0.192,7.4
Seafood,70.0,6.08,0.983,21.1,1.6,0.2,87.0,Standard Plastic,0.131,2.2
Bakery,34.4,6.13,0.885,,5.3,19.1,,Glass,0.019,4.1
Beverages,86.0,5.8,0.988,1.6,0.2,21.4,64.1,Standard Plastic,0.062,52.9
Snacks,4.9,5.64,0.282,3.6,17.4,24.5,53.0,Standard Plastic,0.327,141.0
Snacks,5.6,,0.62,11.4,,12.1,67.7,Glass,,112.4
Dairy,64.8,5.76,0.98,6.3,4.5,3.2,79.5,Cardboard,0.129,6.7
Snacks,6.5,6.05,0.388,8.2,28.7,19.3,35.8,Modified Atmosphere,0.156,751.4
Condiments,52.4,3.87,0.901,3.5,29.4,7.8,92.2,Vacuum Sealed,0.382,206.2
Beverages,88.1,5.98,0.974,1.0,1.7,4.8,74.9,Cardboard,0.136,197.6
Bakery,25.8,5.76,0.928,9.9,7.9,25.7,49.9,Standard Plastic,0.009,1.7
Meat,69.6,5.74,0.988,26.1,17.6,24.8,49.1,Glass,0.058,1.1
